subject name,course name,catalog number,credits,term,description,enrollment requirements,quantatative,writing,CA1,CA2,CA3,CA4,CA4INT,TOI1,TOI2,TOI3,TOI4,TOI5,TOI6
Accounting,Principles of Financial Accounting,2001,,Spring 2026,The study of the generation and interpretation of accounting information as a basis for financial statement analysis and management decision-making.,"Enrollment Requirements: Not recommended for first year students. May not be taken out of sequence after passing ACCT 2101, ACCT 3005, or ACCT 3260.",False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Principles of Managerial Accounting,2101,3.00,Spring 2026,"(Also offered as BADM 2101.) Internal reporting to managers for use in planning and controlling operating systems, for use in decision making, formulating major plans and policies, and for costing products for inventory valuation and income determination.","Enrollment Requirements: ACCT 2001; open only to Business majors of sophomore or higher status. May not be taken out of sequence after passing ACCT 3201, ACCT 3221, or ACCT 4881.",False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Intermediate Accounting I,3201,3.00,Spring 2026,"(Also offered as BADM 3201.) An in-depth study of financial accounting, giving particular emphasis to balance sheet valuations and their relationship to income determination.","Enrollment Requirements: ACCT 2101 or BADM 2101; ECON 1200, or ECON 1201 and 1202, or ARE 1150 and ECON 1202; open only to business majors of junior or higher status. Accounting majors must also complete ACCT 3005 either before or concurrently. May not be taken out of sequence after passing ACCT 3202 or 4881.",False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Intermediate Accounting II,3202,3.00,Spring 2026,(Also offered as BADM 3202.) A continuation of ACCT/BADM 3201.,Enrollment Requirements: ACCT or BADM 3201; open only to business majors of junior or higher status; Accounting majors must also complete ACCT 3005 either before or concurrently. May not be taken out of sequence after passing ACCT 4203 or ACCT 4243/BADM 4243.,False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Introduction to Accounting Analytics,3210,3.00,Spring 2026,"In Introduction to Accounting Analytics, students will develop their ability to ask and answer meaningful accounting questions through data analytics. Using different types of data analysis software, students will identify business questions that can be answered using data, prepare data for analysis, perform tests, and analyze and communicate the results of testing. Students will learn to think critically about what makes a good accounting question and how data can be used to answer those questions. Students will apply these skills within an accounting framework, in areas such as financial reporting, auditing, and managerial accounting.",Enrollment Requirements: ACCT 2001.,False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Cost Accounting,3221,3.00,Spring 2026,(Also offered as BADM 3221.) The study of (1) product costing as a basis for income determination and inventory valuation and (2) accounting concepts for planning and controlling organizational operations.,Enrollment Requirements: ACCT 2101 or BADM 2101; open only to business majors of junior or higher status.,False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Federal Income Taxes,3260,3.00,Spring 2026,(Also offered as BADM 3260.) A study of the underlying concepts of federal income taxation. Emphasis to be placed upon the impact of taxes on business decisions.,Enrollment Requirements: ACCT 3201 or BADM 3201; open only to business majors of junior or higher status. May not be taken out of sequence after passing ACCT 4261.,False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Volunteer Income Tax Assistance for Preparers,3265,2.00,Spring 2026,"(Also offered as BADM 3265.) IRS Certification in Basic Domestic and International Student and Scholar tax returns. Research and analyze current tax issues, interview a diverse group of real taxpayers, prepare real returns and respond to immediate feedback while working in a controlled setting under the supervision of a CPA. Students learn practical accounting and tax skills and procedures, while providing a valuable service to our community. Gives students the rare opportunity to gain technical industry experience in an academic environment. ACCT/BADM 4265 can be taken for one credit subsequent to ACCT/BADM 3265. Students in ACCT/BADM 4265 serve as qualified reviewers.",Enrollment Requirements: ACCT 2001; open only to business majors of sophomore or higher status. May not be taken out of sequence after passing ACCT 4265.,False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Assurance Services,4243,3.00,Spring 2026,"(Also offered as BADM 4243.) Focuses on issues relevant to the public accounting profession, such as legal liability and ethics, audit risk analysis, planning of audit engagements, audit reports, and other assurance services and reports. Students will learn to think critically about issues facing the accounting profession, primarily by analyzing cases and completing a number of individual and group research projects.",Enrollment Requirements: ACCT 3202 or BADM 3202; open only to business majors of junior or higher status.,False,False,False,False,False,False,False,False,False,False,False,False,False
Accounting,Advanced Volunteer Income Tax Assistance for Reviewers,4265,1.00,Spring 2026,"Advanced IRS Certification in Domestic and International Student and Scholar tax returns. Research and analyze current tax issues on an advanced level, with supervisory responsibility, while working in a controlled setting under the supervision of a CPA. Students develop mentoring skills as well as supplement practical accounting and tax skills, while providing a valuable service to our community. Gives students the rare opportunity to gain technical industry experience in an academic environment.",Enrollment Requirements: ACCT 3265 or BADM 3265; open only to Business majors of sophomore or higher status. Not open for credit for students in or who have completed BADM 4265.,False,False,False,False,False,False,False,False,False,False,False,False,False
