course name,section number,instructor,campus,meeting time,instruction mode,required additional sections,current enrollment,max enrollment,seats available,reserved seats info,waitlist available seats
Principles of Financial Accounting,002,Suzanne Cansler (PI),STORR,12:30PM - 1:45PM / TuTh,In Person,,0,250,,,
Principles of Financial Accounting,002D,Suzanne Cansler (PI),STORR,9:05AM - 9:55AM / Fr,In Person,You will be auto-enrolled in section(s) 002,0,71,71,,0
Principles of Financial Accounting,003,Suzanne Cansler (PI),STORR,11:00AM - 12:15PM / TuTh,In Person,,0,250,,,
Principles of Financial Accounting,003D,Suzanne Cansler (PI),STORR,10:10AM - 11:00AM / Fr,In Person,You will be auto-enrolled in section(s) 003,0,62,62,,0
Principles of Financial Accounting,004D,Suzanne Cansler (PI),STORR,11:15AM - 12:05PM / Fr,In Person,You will be auto-enrolled in section(s) 003,0,72,72,,0
Principles of Financial Accounting,005D,Suzanne Cansler (PI),STORR,12:20PM - 1:10PM / Fr,In Person,You will be auto-enrolled in section(s) 002,0,71,71,,0
Principles of Financial Accounting,006D,Suzanne Cansler (PI),STORR,1:25PM - 2:15PM / Fr,In Person,You will be auto-enrolled in section(s) 002,0,62,62,,0
Principles of Financial Accounting,007D,Suzanne Cansler (PI),STORR,2:30PM - 3:20PM / Fr,In Person,You will be auto-enrolled in section(s) 002,0,71,71,,0
Principles of Financial Accounting,008D,Suzanne Cansler (PI),STORR,3:35PM - 4:25PM / Fr,In Person,You will be auto-enrolled in section(s) 002,0,71,71,,0
Principles of Financial Accounting,013D,Suzanne Cansler (PI),STORR,10:10AM - 11:00AM / Fr,In Person,You will be auto-enrolled in section(s) 003,0,10,0,10 for RC Honors Students Only,0
Principles of Financial Accounting,016D,Suzanne Cansler (PI),STORR,1:25PM - 2:15PM / Fr,In Person,You will be auto-enrolled in section(s) 002,0,10,9,1 for RC Honors Students Only,0
Principles of Financial Accounting,331,Staff,WTBY,11:00AM - 12:15PM / TuTh,In Person,,0,35,35,,0
Principles of Financial Accounting,660,Staff,AVYPT,5:30PM - 8:00PM / Tu,In Person,,0,30,30,,0
Principles of Financial Accounting,701,Staff,HRTFD,11:15AM - 12:30PM / MoWe,In Person,,0,47,47,,0
Principles of Financial Accounting,881,Guojin Gong (PI),STMFD,9:30AM - 10:45AM / TuTh,In Person,,0,40,40,,0
Principles of Financial Accounting,882,Guojin Gong (PI),STMFD,11:00AM - 12:15PM / TuTh,In Person,,0,40,40,,0
Principles of Managerial Accounting,001,Subprasiri Siriviriyakul (TC),STORR,5:00PM - 6:15PM / MoWe,In Person,,0,30,0,30 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,002,Subprasiri Siriviriyakul (TC),STORR,9:30AM - 10:45AM / MoWe,In Person,,0,10,0,10 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,003,Subprasiri Siriviriyakul (TC),STORR,3:30PM - 4:45PM / MoWe,In Person,,0,30,0,30 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,004,"Subprasiri Siriviriyakul (TC), Wei Chen (PI)",STORR,2:00PM - 3:15PM / TuTh,In Person,,0,30,0,30 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,005,Subprasiri Siriviriyakul (TC),STORR,11:00AM - 12:15PM / TuTh,In Person,,0,30,0,30 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,006,"Subprasiri Siriviriyakul (TC), Wei Chen (PI)",STORR,12:30PM - 1:45PM / TuTh,In Person,,0,30,0,30 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,007,Subprasiri Siriviriyakul (TC),STORR,8:00AM - 9:15AM / MoWe,In Person,,0,30,0,30 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,008,"Subprasiri Siriviriyakul (TC), Wei Chen (PI)",STORR,5:00PM - 6:15PM / TuTh,In Person,,0,30,0,30 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,009,"Subprasiri Siriviriyakul (TC), Wei Chen (PI)",STORR,3:30PM - 4:45PM / TuTh,In Person,,0,30,0,30 for RC ACCT/FNCE/MGMT/MKTG/RE/AIM/,0
Principles of Managerial Accounting,010,"Li Fang (PI), Subprasiri Siriviriyakul (TC)",STORR,12:30PM - 1:45PM / MoWe,In Person,,0,5,5,,0
Principles of Managerial Accounting,332,Subprasiri Siriviriyakul (PI),WTBY,2:00PM - 3:15PM / TuTh,Online Synchronous,,0,25,0,25 for RC Regional BUSN Students,0
Principles of Managerial Accounting,660,Subprasiri Siriviriyakul (TC),AVYPT,2:00PM - 3:15PM / TuTh,Online Synchronous,,0,5,5,,0
