subject name,subject abbreviation
Accounting,ACCT
Africana Studies,AFRA
"Agriculture, Health and Natural Resources",AHNR
Agricultural and Resource Economics,ARE
Air Force Studies,AIRF
Allied Health Sciences,AH
American Sign Language,ASLN
American Studies,AMST
Animal Science,ANSC
Anthropology,ANTH
Arabic and Islamic Studies,ARIS
Arabic,ARAB
Art History,ARTH
Art,ART
Asian and Asian American Studies,AAAS
Biological Sciences,BIOL
Biomedical Engineering,BME
Business Administration,BADM
Business Law,BLAW
Business,BUSN
Chemical Engineering,CHEG
Chemistry,CHEM
Chinese,CHIN
Civil Engineering,CE
Classics and Ancient Mediterranean Studies,CAMS
Cognitive Science,COGS
Communication,COMM
Comparative Literary and Cultural Studies,CLCS
Computer Science and Engineering,CSE
Diagnostic Genetic Sciences,DGS
Dietetics,DIET
Digital Media and Design,DMD
Dramatic Arts,DRAM
Earth Sciences,ERTH
Ecology and Evolutionary Biology,EEB
Economics,ECON
Education Curriculum and Instruction,EDCI
Education,EGEN
Educational Psychology,EPSY
Educational Leadership,EDLR
Electrical and Computer Engineering,ECE
Engineering,ENGR
English,ENGL
Environmental Engineering,ENVE
Environmental Sciences,ENVS
Environmental Studies,EVST
Finance,FNCE
French,FREN
Geography,GEOG
German,GERM
Healthcare Management and Insurance Studies,HCMI
Hebrew and Judaic Studies,HEJS
History,HIST
Human Development and Family Sciences,HDFS
Human Rights,HRTS
Interdepartmental,INTD
Italian Literature and Cultural Studies,ILCS
Japanese,JAPN
Journalism,JOUR
Kinesiology,KINS
Korean,KORE
Landscape Architecture,LAND
Latino and Latin American Studies,LLAS
Linguistics,LING
Management and Entrepreneurship,MENT
Marine Sciences,MARN
Maritime Studies,MAST
Marketing,MKTG
Materials Science and Engineering,MSE
Mathematics,MATH
Mechanical Engineering,ME
Medical Laboratory Sciences,MLSC
Military Science,MISI
Modern Greek,MGRK
Molecular and Cell Biology,MCB
Music,MUSI
Natural Resources and the Environment,NRE
Nursing,NURS
Nutritional Sciences,NUSC
Operations and Information Management,OPIM
Pathobiology,PATH
Pharmacy - PHAR,PHAR
Pharmacy - PHRX,PHRX
Philosophy,PHIL
Physics,PHYS
Physiology and Neurobiology,PNB
Plant Science,PLSC
Political Science,POLS
Psychological Sciences,PSYC
Public Health,PUBH
Public Policy,PP
Sociology,SOCI
Spanish,SPAN
"Speech, Language and Hearing Science",SLHS
Statistical Data Science and Analysis,DSDA
Statistics,STAT
Translation Studies,TRST
University,UNIV
Urban and Community Studies,URBN
"Women's, Gender, and Sexuality Studies",WGSS
