subject name,subject abbreviation
Accounting,ACCT
Adv Manufacturing Energy Sys,AMES
African Studies,AFRI
Africana Studies,AFRA
"Agri, Hlth and Nat Resources",AHNR
Agric and Nat Res (RH),SAAG
Agric and Res Economics (RH),SARE
Agric and Resource Economics,ARE
Agriculture and Natural Rsrcs,AGNR
Air Force Aerospace,AIRF
All,ALL
Allied Health Sciences,AH
American English Language Inst,AELI
American Sign Language,ASLN
American Studies,AMST
Anesthesiology,ANES
Animal Science,ANSC
Animal Science (RH),SAAS
Anthropology,ANTH
Applied Linguistic & Discourse,ALDS
Arabic,ARAB
Arabic and Islamic Studies,ARIS
Art,ART
Art History,ARTH
Asian Asian American Studies,AAAS
Biological Sciences,BIOL
Biomedical Engineering,BME
Biostatistics,BIST
Business,BUSN
Business Administration,BADM
Business Law,BLAW
COOP Education Work Placement,CEWP
Chemical Engineering,CHEG
Chemistry,CHEM
Chinese,CHIN
Civil Engineering,CE
Classics Ancient Medit Studies,CAMS
Clinical,CLIN
Clinical Dental Science,CDSC
Clinical and Translational Res,CLTR
Cognitive Science,COGS
Communication,COMM
Comp Literary and Cultural Sts,CLCS
Computer Science and Engr,CSE
Critical Language Program,CRLP
Dental Basic Medical Sciences,BSCI
Dental Residency and Fellowshi,DERE
Dental Science,DENT
Dermatology,DERM
Diagnostic Genetic Sciences,DGS
Dietetics,DIET
Digital Media and Design,DMD
Does Not Transfer,XNT
Dramatic Arts,DRAM
Earth Sciences,ERTH
Ecology and Evolutionary Bio,EEB
Economics,ECON
Edu Curriculum and Instruction,EDCI
Education - General,EGEN
Education - Psychology,EPSY
Educational Leadership,EDLR
Electives,ZLEC
Electrical and Computer Engr,ECE
Emergency Medicine,EMED
Engineering,ENGR
English,ENGL
Entertainment Engineering,EED
Environmental Engineering,ENVE
Environmental Sciences,ENVS
Environmental Studies,EVST
European Studies,ES
Executive MBA,EMBA
Exploratory,EXPL
FICHE,FICHE
Family Medicine,FMED
Finance,FNCE
Fine Arts,FINA
Foundational Dental Science,FDSC
Foundational Experience,FEXP
French,FREN
General and Professional Study,GPS
"Geog, Sust, Comm, Urbn Studies",GSCU
Geography,GEOG
German,GERM
Graduate School,GRAD
Hartford Consortium For H Edu,HCHE
Health Care Mgmt and Insur,HCMI
Health Intervent and Policy,CHIP
Hebrew and Judaic Studies,HEJS
Hindi,HIND
History,HIST
Human Dev and Family Sciences,HDFS
Human Rights,HRTS
India Studies,INDS
Industrial Design,ID
Institute for Systems Genomics,ISG
Institute of Materials Science,IMS
Interdepartmental,INTD
Internal Medicine,IMED
International Studies,INTS
Irish,IRIS
Italian Lit and Cultural Sts,ILCS
Japanese,JAPN
Journalism,JOUR
Kinesiology,KINS
Korean,KORE
LLM,LLM
Landscape Architecture,LAND
Latino Latin American Studies,LLAS
Law,LAW
Linguistics,LING
Literatures Cultures and Lang,LCL
Management and Entrepreneurshp,MENT
Management Engr Manufacturing,MEM
Manufacturing Engineering,MFGE
Marine Sciences,MARN
Maritime Studies,MAST
Marketing,MKTG
Materials Science and Engr,MSE
Mathematics,MATH
Mechanical Engineering,ME
Medical Laboratory Sciences,MLSC
Medical Science,MEDS
Military Science,MISI
Modern Greek,MGRK
Molecular and Cell Biology,MCB
Music,MUSI
Nat Res Mgt and the Env (RH),SANR
National Student Exchange,NSE
Native Am and Indigenous Stud,NAIS
Natural Resources and the Envr,NRE
Neurology,NEUR
Neurosurgery,NSRG
Nursing,NURS
Nutritional Sciences,NUSC
OB GYN,OBGY
OMFS,OMFS
Occupational Safety and Health,OSH
Off Campus,OFFC
Operations and Info Mgmt,OPIM
Orthopaedic,ORTH
Paralegal,PARL
Pathobiology,PATH
Pathobiology (RH),SAPB
Pathology,PTHO
Pediatrics,PEDS
Persian,PERS
Pharmacy - PHAR,PHAR
Pharmacy - PHRX,PHRX
Philosophy,PHIL
Physical Therapy,PT
Physics,PHYS
Physiology and Neurobiology,PNB
Plant Science,PLSC
Plant Science (RH),SAPL
Polish,PLSH
Political Science,POLS
Polymer Science,POLY
Portuguese,PORT
Psychiatry,PSCH
Psychological Sciences,PSYC
Public Health,PUBH
Public Policy,PP
Radiology,RADS
Romance Language,ROML
Russian,RUSS
SW Administration,ADMN
SW Basics,BASC
SW Community Organization,CORG
SW Direct Service Elective,DSEL
SW Field Education Found,FED
SW Human Behavior Elective,HBEL
SW Independent Study,IS
SW Policy Practice,POPR
SW Research,RSCH
SW Social Work,SOWK
SW Social Work Elective,SWEL
SW Special Topics,SPTP
SWIndividuals Groups Families,IGFP
School of Dental Medicine,D
School of Medicine,M
Science,SCI
Social Work,SSW
Sociology,SOCI
Spanish,SPAN
Speech Language Hearing Sci,SLHS
Statistical Data Sci Anlys,DSDA
Statistics,STAT
Surgery,SURG
Sustainable Plant and Soil Sys,SPSS
Systems Engineering,SE
Transfer Credits,TRAN
Transformation,TRNS
Translation Studies,TRST
Unassigned Electives,UNAS
University,UNIV
Urban and Community Studies,URBN
Vietnamese,VIET
Women Gender Sexuality Studies,WGSS
